human,bert_f1_deberta_xlarge_mnli,bert_p_deberta_xlarge_mnli,bert_r_deberta_xlarge_mnli,bert_f1_roberta_large_mnli,bert_r_roberta_large_mnli,bert_p_roberta_large_mnli,bert_f1_bart_mnli,bert_r_bart_mnli,bert_p_bart_mnli
0.332689984123327,0.6115638,0.64271885,0.5784901,0.57985944,0.51293784,0.6470497,0.8032863,0.7774807,0.83086383
0.13083739085347,0.8577901,0.854064,0.8603803,0.72175676,0.7286962,0.71393025,0.8188121,0.8271389,0.8106512
0.315716178352574,0.6226234,0.6163613,0.62586933,0.578729,0.5412683,0.6153192,0.7181874,0.71894026,0.7174361
0.478606317945255,0.8242986,0.76653486,0.8843218,0.846299,0.91448075,0.77919483,0.89672464,0.9433351,0.8545035
0.582911436674549,0.8612553,0.91430384,0.809893,0.84776175,0.812317,0.8831468,0.89223003,0.86760116,0.9182981
-0.85647799495761,0.8155881,0.893199,0.7424822,0.84631735,0.7749326,0.9190014,0.87621856,0.8272156,0.9313927
0.723660462251228,0.9038013,0.90092945,0.9059042,0.8699135,0.86056113,0.8788721,0.92506456,0.92476326,0.92536604
0.00416536148291124,0.526423,0.5606352,0.48994178,0.44146553,0.45826724,0.42296073,0.73063546,0.72798824,0.7333019
-0.357243997085084,0.626254,0.5790036,0.67311704,0.6011046,0.6288091,0.57238746,0.82865214,0.8312025,0.8261174
-0.0162909943523577,0.61296844,0.59768796,0.62535936,0.56591946,0.5674241,0.56300396,0.77004945,0.77931345,0.76100314
-0.197614046601179,0.5705666,0.5651068,0.57258034,0.68441623,0.6266443,0.7423561,0.74933696,0.72052956,0.7805437
-0.01084294200138,0.4983063,0.4896487,0.5029758,0.3619257,0.3823817,0.33956403,0.72257423,0.7299597,0.7153367
-0.648933104154934,0.37154335,0.3854044,0.35296965,0.2827595,0.25925165,0.30412757,0.66621923,0.65549713,0.677298
-0.248361806754914,0.79108274,0.7469622,0.8356439,0.7723553,0.8031782,0.7411261,0.8786438,0.9011978,0.85719115
-0.106071791104644,0.63712424,0.56505585,0.71266603,0.50092566,0.541998,0.4588613,0.81571007,0.84622055,0.78732306
0.565970606539034,0.72595847,0.7312793,0.71847034,0.7804964,0.76966673,0.7906513,0.8274746,0.8259842,0.8289704
-0.333828725704584,0.49597707,0.5443584,0.44656327,0.43237478,0.37427858,0.4898727,0.75739986,0.7366866,0.77931166
0.147511389457464,0.88350827,0.8872143,0.8788791,0.8129301,0.790893,0.8345265,0.9246898,0.91502553,0.9345605
-0.047480250563704,0.85119486,0.8196105,0.882621,0.77264494,0.78900343,0.75564253,0.8956364,0.9076903,0.8838984
-0.360394956721453,0.5751678,0.5102008,0.6420087,0.4592013,0.4910016,0.4260295,0.7710595,0.7895023,0.7534586
-0.167812348227098,0.6044623,0.53436303,0.67750967,0.4773143,0.581329,0.37550282,0.7816579,0.8118314,0.7536469
-0.57281938956244,0.3351939,0.32810852,0.33694553,0.37934256,0.37331504,0.3833603,0.6733117,0.6652501,0.6815711
0.643463044507067,0.7914591,0.7855906,0.79567397,0.7324198,0.7290542,0.7349182,0.8591457,0.85303795,0.86534166
-0.660388216849398,0.40502638,0.37686098,0.42933825,0.44944382,0.4849738,0.41260576,0.7304583,0.7436483,0.717728
-1.41444807445734,0.36955258,0.39625862,0.338891,0.5472725,0.57924026,0.5142149,0.7599112,0.74582314,0.7745418
0.95258229817377,0.9360762,0.91952634,0.95238394,0.9223185,0.9324705,0.9119494,0.9552079,0.96823037,0.94253105
0.812172925892057,0.96481085,0.95533454,0.9740921,0.92719567,0.9452205,0.9090444,0.9612288,0.9683018,0.9542584
0.467143262828706,0.74041086,0.7465411,0.73224056,0.6755081,0.67666304,0.67329866,0.82624626,0.8322206,0.8203572
-0.9754771847831,0.23431353,0.11569851,0.3717735,0.009764575,0.330201,-0.2767934,0.563974,0.6219787,0.5158653
0.114769162480244,0.7895119,0.7850055,0.7923356,0.6873581,0.70795596,0.6658982,0.865857,0.86418194,0.8675386
-0.823443895159447,0.42694208,0.37549478,0.47724792,0.45028186,0.4971472,0.40245566,0.7227462,0.7388052,0.7073705
0.437920037204894,0.7645415,0.78344995,0.74414855,0.7338695,0.71224135,0.7547925,0.86260855,0.8639606,0.8612608
-0.166895556816134,0.4757145,0.5002885,0.44779184,0.45817292,0.45712933,0.45745337,0.73243666,0.7234515,0.7416477
0.073405552962959,0.56601137,0.55850476,0.5700598,0.47991815,0.46250063,0.49574634,0.76511276,0.76109445,0.76917374
0.36038191530228,0.7986999,0.80802405,0.78785723,0.69860345,0.6948059,0.70142454,0.8184093,0.81436276,0.8224963
-0.402604954526111,0.52271897,0.47177827,0.5730493,0.4716153,0.49520525,0.4465229,0.7411035,0.75881755,0.7241976
-0.190070906563248,0.50339615,0.4533201,0.5526201,0.32605997,0.37313816,0.27765018,0.7406924,0.7446419,0.7367846
-0.418367515139728,0.5116976,0.4392519,0.5871398,0.2804,0.45560548,0.11401472,0.72093004,0.76865256,0.6787869
0.927431017059398,0.9999999,0.9999999,0.9999999,0.99999964,0.99999964,0.99999964,0.9999999,0.9999999,0.9999999
0.165918653657112,0.7350635,0.79793835,0.6742645,0.6534612,0.5500368,0.7596983,0.8150201,0.7618452,0.87617505
0.468901720330329,0.7830611,0.7561943,0.8089366,0.7110687,0.70600766,0.7151974,0.8436758,0.8410504,0.8463176
0.464631363029329,0.6614196,0.6407904,0.67976266,0.5669952,0.59076,0.5420351,0.81653655,0.8334178,0.80032563
-1.01242180894803,0.56440175,0.57570213,0.54978764,0.5072914,0.503313,0.5096699,0.74983305,0.7338751,0.7665006
0.420410097641024,0.9002254,0.8998354,0.8998101,0.7930898,0.7927603,0.7927459,0.9133802,0.9133802,0.9133802
-1.39677493515606,0.126182,0.11237906,0.13312201,0.045453005,-0.029446138,0.11947979,0.57126796,0.5545759,0.5889961
0.532808468111551,0.7959442,0.7477855,0.84500337,0.77580786,0.78666496,0.7642641,0.8707896,0.8894793,0.85286915
